,x_term,x_term_trans,y_term_proukraine,y_term_prorussia,x_final,y_proU_final,y_proR_final,cluster
S347U,-1.0,0.0,0.0,0.5555933152566868,0.0,0.0,0.5185994537683041,1
S348U,-1.0,0.0,0.0,0.37382612211860733,0.0,0.0,0.4571191537801353,1
S349U,-1.0,0.0,0.0,0.5035518123864611,0.0,0.0,0.5011839551643514,1
S350U,-1.0,0.0,0.0,0.6692125913788483,0.0,0.0,0.5584503625010455,1
S351U,-1.0,0.0,0.0,0.6637594433045204,0.0,0.0,0.5564329368966319,1
S352U,-1.0,0.0,0.0,0.43082762202104685,0.0,0.0,0.47681037571736024,1
S353U,-1.0,0.0,0.0,0.9247779344719205,0.0,0.0,0.6977000771863106,1
S354U,-0.8017650359022337,0.09911748204888315,0.6989700043360187,0.4529086203262108,0.32394741137101907,0.569742173380174,0.48426141270996914,2
S355U,-1.0,0.0,0.0,0.6148729573083482,0.0,0.0,0.5389080472288608,1
S356U,-1.0,0.0,0.0,0.964824716975815,0.0,0.0,0.7509840754082292,1
S357U,-1.0,0.0,0.0,0.5368568872382306,0.0,0.0,0.5123054687644161,1
S358U,-1.0,0.0,0.0,0.6797273056101403,0.0,0.0,0.5623831519493743,1
S359U,-0.913495785878654,0.043252107060673006,1.0,0.6801121787209792,0.2626646554895375,1.0,0.5625282261435733,2
S360U,-1.0,0.0,0.0,0.5488365762554226,0.0,0.0,0.516325119335732,1
S361U,-1.0,0.0,0.0,0.7334237020829911,0.0,0.0,0.5835477220974804,1
S362U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S363U,-1.0,0.0,0.0,0.4263337044762089,0.0,0.0,0.47528470278673096,1
S364U,-1.0,0.0,0.0,0.6261230595448051,0.0,0.0,0.542862888218911,1
S365U,-1.0,0.0,0.0,0.5469424522581725,0.0,0.0,0.515688551412633,1
S366U,-1.0,0.0,0.0,0.6993851169930261,0.0,0.0,0.5699034362068717,1
S367U,-0.9602137919740625,0.019893104012968732,1.0,0.7450142891411364,0.21431716972375375,1.0,0.5884105702402573,2
S368U,-1.0,0.0,0.0,0.3603802968153985,0.0,0.0,0.4523356820060673,1
S369U,-0.9456742439632247,0.027162878018387626,1.0,0.5996660741968227,0.23276059123971657,1.0,0.5336220138419637,2
S370U,-0.9512916874537467,0.024354156273126648,1.0,0.38117435828006263,0.22615825745669424,1.0,0.45970700935693865,2
S371U,-0.926396516914376,0.036801741542812016,1.0,0.5606965863317138,0.25195021352009694,1.0,0.5203212660070143,2
S372U,-1.0,0.0,0.0,0.9344928077252694,0.0,0.0,0.7080532739669181,1
S373U,-1.0,0.0,0.0,0.43735380478763053,0.0,0.0,0.4790199497455039,1
S374U,-1.0,0.0,0.0,0.6168757075349967,0.0,0.0,0.5396091716557313,1
S375U,-1.0,0.0,0.0,0.517496287093942,0.0,0.0,0.5058342130751604,1
S376U,-1.0,0.0,0.0,0.831043832079571,0.0,0.0,0.629719675108066,1
S377U,-1.0,0.0,0.0,0.43050749759013707,0.0,0.0,0.4767018106962147,1
