,RT_war,prop_war_RTs,frequency_weeks,nb_mentors_prorussia,nb_mentors_proukraine,Betweenness_centrality,Closeness_centrality,PageRank
S399U,91,0.0086052009456264,0.925925925925926,5.0,0.0,0.0,0.3442567567567567,0.0003147508095802
S185U,90,0.0149775336994508,0.7407407407407407,5.0,0.0,0.0004684735792572,0.3410307898259705,0.000311665673395
S446U,89,0.0049706785814018,0.7777777777777778,6.0,1.0,0.0095297757963686,0.4434290687554395,0.0003272063037918
S318U,89,0.0111556781148157,0.7407407407407407,6.0,0.0,0.0002401522721965,0.3437921727395411,0.0003086251566306
S194U,89,0.0225602027883396,0.7777777777777778,6.0,0.0,0.0,0.3424059139784946,0.0003097801324438
S408U,89,0.0050254093732354,0.8518518518518519,7.0,1.0,0.0003251693953849,0.4392241379310345,0.0003318521077929
S390U,89,0.0075200675961132,0.8148148148148148,6.0,0.0,0.001192910854944,0.3444895199459094,0.0003122001794526
S463U,87,0.0047157027481164,0.8888888888888888,7.0,1.0,0.000823058235919,0.4820245979186376,0.0003103268631617
S357U,87,0.0301246537396121,0.6666666666666666,6.0,0.0,0.0007007722716835,0.3424059139784946,0.0003139489942509
S146U,87,0.0064756233717901,0.8148148148148148,4.0,2.0,0.0007196272605924,0.4857006673021926,0.0003391541095401
S227U,85,0.0161259723012711,0.8148148148148148,6.0,0.0,0.0004802841763823,0.345189701897019,0.0003042851865301
S328U,84,0.0400572246065808,0.7407407407407407,3.0,0.0,0.0004775793556517,0.3383134130146082,0.0002879673212046
S189U,84,0.0248373743347131,0.925925925925926,5.0,1.0,0.0035117328157128,0.3751840942562592,0.0003534258822124
S442U,84,0.0034017737820434,0.7777777777777778,8.0,1.0,0.0016933422979223,0.4610859728506787,0.000312012697337
S478U,84,0.0096874639603275,0.8518518518518519,6.0,0.0,0.0009924624120059,0.345189701897019,0.0003136818598453
S311U,84,0.0078475336322869,0.4074074074074074,4.0,0.0,0.0,0.3440243079000675,0.0002930284781443
S461U,83,0.0332,0.5185185185185185,2.0,0.0,0.0,0.3380889183808891,0.0002862918379729
S482U,83,0.029996385977593,0.7407407407407407,4.0,0.0,0.0,0.3417169684775318,0.0002980158652475
S394U,83,0.0843495934959349,0.5925925925925926,2.0,0.0,0.0,0.3380889183808891,0.0002883187604015
S234U,82,0.0148631502628239,0.7407407407407407,5.0,0.0,2.24285856320375e-05,0.3421759570181329,0.0003187756045691
S423U,81,0.0015807962529274,0.925925925925926,5.0,0.0,0.0,0.34125920964501,0.0003135081480457
S271U,81,0.0053000065432179,0.7037037037037037,7.0,1.0,0.0009433562752909,0.4815689981096408,0.0003135586887135
S223U,80,0.0056274620146314,0.7777777777777778,5.0,0.0,0.0015317656079057,0.3419463087248322,0.0003166449662318
S492U,80,0.0039649105417059,0.7407407407407407,7.0,1.0,0.0020340179679419,0.4392241379310345,0.0003025157880709
S176U,80,0.0193050193050193,0.5555555555555556,5.0,0.0,0.0,0.3410307898259705,0.0003062824562719
S409U,79,0.0086784576513237,0.3703703703703703,5.0,1.0,0.0,0.45818345323741,0.0003086237860053
S208U,77,0.0124514877102199,0.2962962962962963,4.0,1.0,0.0,0.4788533834586466,0.0002822317907999
S247U,74,0.0056005449178839,0.5925925925925926,6.0,0.0,0.0,0.3430976430976431,0.000296614558368
S444U,73,0.0224270353302611,0.7407407407407407,6.0,0.0,0.0002838365605522,0.3424059139784946,0.0002908219834609
S406U,73,0.0034012020686763,0.8148148148148148,5.0,1.0,0.0004102974916207,0.4806603773584905,0.0002982804912552
S362U,72,0.3333333333333333,0.5925925925925926,1.0,0.0,0.0,0.3336607727570399,0.0002666670736903
S353U,72,0.0064759848893685,0.5925925925925926,2.0,0.0,0.0,0.3293471234647705,0.0002912041695749
S326U,71,0.0168007572172266,0.6296296296296297,5.0,0.0,0.0,0.3419463087248322,0.0002760051487135
S348U,70,0.0078334825425246,0.7037037037037037,6.0,0.0,0.0,0.3424059139784946,0.0002824358094956
S419U,70,0.0106837606837606,0.4074074074074074,7.0,0.0,0.0,0.3454237288135593,0.000278046448013
S222U,68,0.0119992941591671,0.4444444444444444,5.0,0.0,0.0,0.3419463087248322,0.0002744997317223
S321U,68,0.017089721035436,0.5925925925925926,6.0,0.0,0.0002977660164756,0.3424059139784946,0.0002785586892592
S268U,67,0.0047034047034047,0.7777777777777778,4.0,0.0,0.0,0.3408026755852842,0.0002766640086373
S386U,66,0.0025720966484801,0.8148148148148148,5.0,0.0,0.000485269745277,0.3347568988173456,0.0002880861323485
S266U,66,0.022517911975435,0.7777777777777778,1.0,0.0,0.0,0.3050898203592814,0.0002895577285399
S331U,66,0.2444444444444444,0.7037037037037037,1.0,0.0,0.0,0.3336607727570399,0.0002566997195103
S354U,65,0.0055126791620727,0.5555555555555556,6.0,2.0,0.0040555634769921,0.494180407371484,0.0002754872249039
S350U,65,0.0141612200435729,0.8148148148148148,3.0,0.0,0.0,0.3405748663101604,0.0002625165685389
S436U,63,0.0113309352517985,0.5555555555555556,7.0,1.0,0.0007126461355783,0.4806603773584905,0.0002719483435505
S454U,63,0.0070406794814483,0.7407407407407407,4.0,0.0,0.0022799750454038,0.3426361802286483,0.0002971445384796
